"USGS_NHD_ComID","NWS_8_CHAR_lid","A_H_P","USGS","Hydrolog_Unit_Code","RFC","FORECAST_GROUP","NWS_HSA","T _Y_P","FI_P_ST","ST_AB","NW_S_ST","A_T_V","R_E_F","H_D_N","DRAINAGE_AREA_MI2","NWS LAT_dd_mm_ss","NWS_LONG_ ddd_mm_ss","USGS_LAT_DEG","USGS_LONG_DEG","C_A_C","COORD","ALTITUDE_FT","ALT _ACY","DATUM","GOES_IDENTIFR","N_1_0","N_1_1","NWS_LOC_NAME","USGS_LOC_NAME","Area_km2","area_below_1000km2","DRAINAGE_AREA_KM2"
1543899,"VBRA4","Y","07250085","11110104","ABRFC","KERRPBF","TSA",NA,"5","AR","A4","Y","N",NA,166.796,"35 29 04","94 23 34",35.48444444,-94.3927778,"T","NAD83","0","10","NGVD29","CE68C158","Y","Y","LEE CREEK AT LEE CREEK RESERVOIR NEAR VAN BURENAR","Lee Creek at Lee Creek Reservoir near Van Buren AR","431.999972","431.999972",431.99997203999993
7752590,"JOCA4",NA,"07250935","11110201","ABRFC","KERRPBF","TSA","ST","05","AR","A4","Y","Y",NA,19.8,"35 44 09","94  6 11",35.7358333,-94.1030556,"S","NAD83",NA,NA,NA,"176B8464","Y","Y","JONES CREEK AT WINFREY AR","Jones Creek at Winfrey  AR","51.281802","51.281802",51.281802
7753306,"MTNA4",NA,"07250965","11110201","ABRFC","KERRPBF","TSA","ST","05","AR","A4","Y","Y",NA,54.2,"35 43 20","94  6 49",35.7222222,-94.1136111,"S","NAD83",NA,NA,NA,"171072E4","Y","Y","FROG BAYOU AT WINFREY AR","Frog Bayou at Winfrey  AR","140.377458","140.377458",140.377458
7753312,"JKCA4",NA,"07250974","11110201","ABRFC","KERRPBF","TSA","ST","05","AR","A4","Y","Y",NA,6.9,"35 42 16","94  5 30",35.70444444,-94.0916667,"S","NAD83",NA,NA,NA,"DE27636A","Y","Y","JACK CREEK NEAR WINFREY AR","Jack Creek near Winfrey  AR","17.870931","17.870931",17.870931
7753160,"RDYA4",NA,"07251500","11110201","ABRFC","KERRPBF","TSA","ST","05","AR","A4","Y","N",NA,216,"35 31 33","94 16 17",35.5258333,-94.2713889,"T","NAD83","475.08","0.01","NGVD29","CE68CF8A","N","N","FROG BAYOU AT RUDY AR","Frog Bayou at Rudy  AR","559.43784","559.43784",559.4378399999999
7752938,"MLBA4","Y","07252000","11110201","ABRFC","KERRPBF","TSA","ST","05","AR","A4","Y","Y",NA,373,"35 34 37","94  0 55",35.57694444,-94.0152778,"T","NAD83","432.75","0.01","NGVD29","CE68D22E","Y","Y","MULBERRY RIVER NEAR MULBERRY. AR","Mulberry River near Mulberry. AR","966.06627","966.06627",966.0662699999999
7777217,"LMRA4",NA,"07257200","11110202","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","N",NA,154,"35 27 00","93 20 17",35.45,-93.3380556,"1","NAD83","348","0.01","NGVD29","CE68DCFC","N","N","LITTLE PINEY CREEK NEAR LAMAR AR","Little Piney Creek near Lamar  AR","398.85846","398.85846",398.85846
7770981,"STVA4",NA,"07257500","11110202","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","N",NA,241,"35 27 59","93  2 28",35.46638889,-93.0411111,"T","NAD83","488.54","14","NAVD88","CE68E966","Y","Y","ILLINOIS BAYOU NEAR SCOTTSVILLE AR","Illinois Bayou near Scottsville  AR","624.18759","624.18759",624.18759
7805591,"WLTA4",NA,"07260000","11110204","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","Y",NA,81.4,"34 59 13","93 36 47",34.98694444,-93.6130556,"T","NAD83",NA,NA,NA,"CE709CCE","Y","Y","DUTCH CREEK AT WALTREAK AR","Dutch Creek at Waltreak  AR","210.825186","210.825186",210.825186
7787118,"HTVA4",NA,"07260673","11110203","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","N",NA,222,"35 19 29","92 52 23",35.3247222,-92.8730556,"T","NAD83","280","14","NAVD88","CE68F4C2","Y","Y","WEST FORK POINT REMOVE CREEK NEAR HATTIEVILLE AR","West Fork Point Remove Creek near Hattieville  AR","574.97778","574.97778",574.9777799999999
22846153,"WLMA4",NA,"07263295","11110207","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","Y","Y",46.1,"34 52 34","92 46 28",34.8761111,-92.7744444,"S","NAD83",NA,NA,NA,"DE3BC590","Y","Y","MAUMELLE RIVER AT WILLIAMS JUNCTION AR","Maumelle River at Williams Junction  AR","119.398539","119.398539",119.398539
22846155,"WYEA4",NA,"07263296","11110207","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","N",NA,73,"34 52 44","92 41 08",34.87888889,-92.6855556,"M","NAD83",NA,NA,NA,"17B195BA","Y","Y","MAUMELLE RIVER NEAR WYE AR","Maumelle River near Wye  AR","189.06927","189.06927",189.06927
22848005,"MMLA4",NA,"072632966","11110207","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","N",NA,89.4,"34 52 31","92 39 14",34.87527778,-92.6538889,"M","NAD83",NA,NA,NA,"1781D0C0","Y","Y","LAKE MAUMELLE AT STATE HWY 10 NEAR WYE AR","Lake Maumelle at State Hwy 10 near Wye  AR","231.545106","231.545106",231.545106
22846157,"PRCA4",NA,"072632968","11110207","ABRFC","KERRPBF","LZK",NA,"5","AR","A4","Y","N",NA,0.988,"34 52 26","92 38 02",34.87388889,-92.6338889,"S","NAD83","0",NA,NA,"DD8600C6","N","N","LK MAUMELLE AT MOUTH OF PIGEON ROOST CR NR WYE AR","Lk Maumelle at Mouth of Pigeon Roost Cr nr Wye  AR","2.55891012","2.55891012",2.5589101199999997
22846055,"YCMA4",NA,"072632971","11110207","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","Y",NA,2.5,"34 53 23","92 38 48",34.8897222,-92.6466667,"S","NAD83","299","10","NAVD88","17EDD36E","Y","Y","YOUNT CREEK NEAR MARTINDALE AR","Yount Creek near Martindale  AR","6.474975","6.474975",6.474975
